"Year","Month","Stop","Total_Ins","Total_Outs","NbrStops","Mean_Ins","Mean_Outs","Mean_Load","NbrTrips","Lat","Lon","Mean_DwellTime"
"2020","Feb","1176",358,1450,478,0.748953974895398,3.03347280334728,20.679203539823,904,40.011085,-75.151603,00:00:19
"2020","Feb","1178",508,518,463,1.09719222462203,1.11879049676026,16.4568584070796,904,40.003971,-75.149284,00:00:09
"2020","Feb","1179",1337,2363,766,1.74543080939948,3.08485639686684,14.1787330316742,884,39.993198,-75.147949,00:00:21
"2020","Feb","118",676,864,543,1.24493554327808,1.59116022099448,11.7630619684083,823,40.030197,-75.118629,00:00:10
"2020","Feb","1180",702,1585,638,1.10031347962382,2.48432601880878,12.4297052154195,882,39.971126,-75.155792,00:00:16
"2020","Feb","1181",331,695,291,1.13745704467354,2.38831615120275,12.9568527918782,394,39.937511,-75.163093,00:00:12
"2020","Feb","1182",110,423,292,0.376712328767123,1.4486301369863,6.577065351418,811,39.916072,-75.166351,00:00:04
"2020","Feb","1183",360,149,231,1.55844155844156,0.645021645021645,12.0492170022371,447,39.937034,-75.161437,00:00:09
"2020","Feb","1185",1239,746,545,2.27339449541284,1.36880733944954,20.2304582210243,742,39.970611,-75.154121,00:00:20
"2020","Feb","1186",1686,1104,598,2.81939799331104,1.84615384615385,20.9731543624161,745,39.992954,-75.14785,00:00:24
"2020","Feb","1188",4939,2299,751,6.57656458055925,3.0612516644474,23.9421894218942,813,40.009021,-75.150657,00:00:44
"2020","Feb","1189",642,309,405,1.58518518518519,0.762962962962963,24.3608374384236,812,40.010795,-75.15129,00:00:14
"2020","Feb","119",240,438,323,0.743034055727554,1.35603715170279,11.4823815309842,823,40.026943,-75.117408,00:00:08
"2020","Feb","1190",110,238,178,0.617977528089888,1.33707865168539,11.5563909774436,798,40.052692,-75.185729,00:00:03
"2020","Feb","11944",18,175,121,0.148760330578512,1.44628099173554,11.7715517241379,464,39.973049,-75.18206,00:00:02
"2020","Feb","12",130,156,104,1.25,1.5,8.81521739130435,368,40.086688,-74.999664,00:00:32
"2020","Feb","12058",188,99,154,1.22077922077922,0.642857142857143,7.73653566229985,687,40.011154,-75.15586,00:00:03
"2020","Feb","121",29,5,16,1.8125,0.3125,1.55,40,40.067138,-75.230957,00:00:20
"2020","Feb","1216",50,24,37,1.35135135135135,0.648648648648649,10.5373134328358,67,39.936237,-75.158386,00:00:10
"2020","Feb","122",14,0,9,1.55555555555556,0,3.83333333333333,24,40.056964,-75.236236,00:00:03
"2020","Feb","1220",123,205,160,0.76875,1.28125,7.64086021505376,465,39.960968,-75.151863,00:00:06
"2020","Feb","12253",3,7,6,0.5,1.16666666666667,3.23529411764706,17,40.064033,-75.239425,00:00:06
"2020","Feb","12261",201,169,202,0.995049504950495,0.836633663366337,13.2060857538036,723,40.01633,-75.210563,00:00:02
"2020","Feb","12269",12,8,13,0.923076923076923,0.615384615384615,4.01694915254237,118,40.037914,-75.222419,00:00:02
"2020","Feb","1227",1014,507,550,1.84363636363636,0.921818181818182,0.848535564853557,1195,40.053916,-75.005393,00:05:45
"2020","Feb","12270",158,181,125,1.264,1.448,11.7923322683706,313,39.969463,-75.164329,00:00:07
"2020","Feb","12275",31,20,32,0.96875,0.625,3.9504132231405,121,40.034156,-75.216079,00:00:04
"2020","Feb","12278",224,195,195,1.14871794871795,1,12.6119186046512,688,40.023422,-75.207817,00:00:04
"2020","Feb","1229",19,5,20,0.95,0.25,4.02040816326531,98,40.064258,-74.999359,00:00:03
"2020","Feb","12293",198,131,172,1.15116279069767,0.761627906976744,13.5729613733906,466,39.977367,-75.16957,00:00:05
"2020","Feb","12296",100,110,77,1.2987012987013,1.42857142857143,13.3411927877947,721,40.020694,-75.209976,00:00:01
"2020","Feb","12299",0,9,2,0,4.5,4,3,40.035736,-75.217269,00:00:03
"2020","Feb","123",496,85,257,1.92996108949416,0.330739299610895,4.27179487179487,585,40.03292,-75.214706,00:00:08
"2020","Feb","12302",1,402,124,0.00806451612903226,3.24193548387097,0.815789473684211,190,40.032802,-75.214385,00:00:17
"2020","Feb","12304",404,427,285,1.41754385964912,1.49824561403509,12.6482558139535,688,40.01955,-75.210678,00:00:05
"2020","Feb","12305",162,160,107,1.51401869158878,1.49532710280374,13.7825484764543,722,40.025447,-75.208694,00:00:01
"2020","Feb","12307",314,181,240,1.30833333333333,0.754166666666667,13.7931769722814,469,39.975849,-75.168708,00:00:08
"2020","Feb","12319",180,222,104,1.73076923076923,2.13461538461538,12.6943231441048,687,40.017688,-75.211318,00:00:01
"2020","Feb","12320",170,134,147,1.15646258503401,0.91156462585034,13.3669527896996,466,39.978954,-75.170455,00:00:03
"2020","Feb","12322",30,3,21,1.42857142857143,0.142857142857143,2.58407079646018,113,40.042407,-75.226348,00:00:04
"2020","Feb","12323",118,153,106,1.11320754716981,1.44339622641509,12.5801749271137,686,40.022094,-75.208953,00:00:02
"2020","Feb","12324",117,260,111,1.05405405405405,2.34234234234234,13.3407202216066,722,40.022048,-75.209182,00:00:01
"2020","Feb","12329",2,19,9,0.222222222222222,2.11111111111111,6.72222222222222,18,40.047985,-75.234909,00:00:18
"2020","Feb","12335",111,124,102,1.08823529411765,1.2156862745098,13.7941585535466,719,40.024673,-75.20829,00:00:01
"2020","Feb","12336",88,55,58,1.51724137931034,0.948275862068966,12.6710334788937,687,40.024574,-75.208076,00:00:02
"2020","Feb","1234",526,575,54,9.74074074074074,10.6481481481481,9.56363636363636,55,40.046512,-75.045112,00:02:55
"2020","Feb","12345",559,1468,428,1.30607476635514,3.42990654205607,13.7839335180055,722,40.026763,-75.209426,00:00:09
"2020","Feb","12346",1,4,4,0.25,1,6.52631578947368,19,40.048744,-75.235313,00:00:02
"2020","Feb","1235",8,10,13,0.615384615384615,0.769230769230769,2.41379310344828,116,40.064437,-74.999015,00:00:08
"2020","Feb","1236",29,6,16,1.8125,0.375,1.70588235294118,17,40.043624,-74.989067,00:05:25
"2020","Feb","12397",0,0,0,NA,NA,3.1304347826087,23,40.060886,-75.238937,00:00:00
"2020","Feb","124",2570,1754,1649,1.55852031534263,1.06367495451789,17.6166174609869,2371,40.026924,-75.117073,00:00:11
"2020","Feb","1240",677,0,21,32.2380952380952,0,30.7727272727273,22,40.048934,-75.024269,00:09:52
"2020","Feb","1241",322,266,218,1.47706422018349,1.22018348623853,7.56384742951907,603,40.040409,-75.043197,00:00:05
"2020","Feb","1242",187,288,192,0.973958333333333,1.5,12.9669724770642,545,40.041419,-75.049186,00:00:04
"2020","Feb","1246",113,89,100,1.13,0.89,12.4019607843137,204,40.013099,-75.070358,00:00:09
"2020","Feb","1249",372,712,62,6,11.4838709677419,5.90476190476191,63,40.013492,-75.143356,00:03:12
"2020","Feb","1250",52,170,120,0.433333333333333,1.41666666666667,4.57434944237918,538,39.987884,-75.092071,00:00:02
"2020","Feb","125no",0,13,8,0,1.625,0,9,39.993999,-75.241744,00:00:00
"2020","Feb","1266",192,37,150,1.28,0.246666666666667,4.03061224489796,784,39.987731,-75.092124,00:00:02
"2020","Feb","12Depot",1435,1362,1750,0.82,0.778285714285714,0.656450137236962,2186,40.015144,-75.164581,00:02:00
"2020","Feb","130",4045,1872,1626,2.48769987699877,1.15129151291513,11.368149882904,2135,39.949302,-75.163658,00:00:20
"2020","Feb","1308",0,465,14,0,33.2142857142857,0,14,40.04919,-75.21965,00:01:04
"2020","Feb","131",970,767,760,1.27631578947368,1.00921052631579,16.697592778335,1994,39.951145,-75.178306,00:00:05
"2020","Feb","1313",359,96,204,1.75980392156863,0.470588235294118,10.1396303901437,487,39.973155,-75.18386,00:00:07
"2020","Feb","13188",208,752,216,0.962962962962963,3.48148148148148,11.6941176470588,340,39.962703,-75.164627,00:00:13
"2020","Feb","132",854,628,670,1.27462686567164,0.937313432835821,19.2228260869565,1472,40.025726,-75.125198,00:00:06
"2020","Feb","1321",94,194,155,0.606451612903226,1.25161290322581,15.0428849902534,513,39.959129,-75.170249,00:00:03
"2020","Feb","1340",1110,534,408,2.72058823529412,1.30882352941176,14.9838709677419,496,40.050777,-75.173271,00:00:19
"2020","Feb","1341",3086,3334,893,3.45576707726764,3.73348264277716,14.2132796780684,994,40.033946,-75.176383,00:00:25
"2020","Feb","1342",48,89,58,0.827586206896552,1.53448275862069,14.6789087093389,953,40.011222,-75.167999,00:00:00
"2020","Feb","1343",4615,4674,826,5.58716707021792,5.65859564164649,4.57383548067393,1009,40.009407,-75.152053,00:04:17
"2020","Feb","1346",139,220,176,0.789772727272727,1.25,15.784371909001,1011,40.013236,-75.169181,00:00:07
"2020","Feb","1347",253,224,260,0.973076923076923,0.861538461538462,15.8257874015748,1016,40.015174,-75.169792,00:00:03
"2020","Feb","1348",3080,3118,906,3.39955849889625,3.44150110375276,13.4460500963391,1038,40.034259,-75.176643,00:00:25
"2020","Feb","1349",538,936,423,1.27186761229314,2.21276595744681,11.8238636363636,528,40.050552,-75.173286,00:00:16
"2020","Feb","1350",32,211,164,0.195121951219512,1.28658536585366,5.32319391634981,526,40.068302,-75.148323,00:00:03
"2020","Feb","1351",751,479,392,1.91581632653061,1.2219387755102,10.4777562862669,517,40.058288,-75.189453,00:00:17
"2020","Feb","13520",1,44,32,0.03125,1.375,5.36885245901639,122,40.124526,-74.962806,00:00:02
